x,y,theta,kappa,length
5.000000000000000000e-01,-3.000000000000000000e+00,3.302973548292537087e-01,-6.486486486486485736e-01,-5.092084220284328611e-01
5.000000000000000000e-01,-2.500000000000000000e+00,3.947911196997615502e-01,-7.692307692307691624e-01,-5.132284556096899930e-01
5.000000000000000000e-01,-2.000000000000000000e+00,4.899573262537282869e-01,-9.411764705882352811e-01,-5.205796591445862598e-01
5.000000000000000000e-01,-1.500000000000000000e+00,6.435011087932843710e-01,-1.199999999999999956e+00,-5.362509239944036610e-01
5.000000000000000000e-01,-1.000000000000000000e+00,9.272952180016121870e-01,-1.600000000000000089e+00,-5.795595112510075753e-01
5.000000000000000000e-01,-5.000000000000000000e-01,1.570796326794896558e+00,-2.000000000000000000e+00,-7.853981633974482790e-01
5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,1.570796326794896558e+00,2.000000000000000000e+00,7.853981633974482790e-01
5.000000000000000000e-01,1.000000000000000000e+00,2.214297435588180818e+00,1.600000000000000089e+00,1.383935897242613011e+00
5.000000000000000000e-01,1.500000000000000000e+00,2.498091544796508856e+00,1.199999999999999956e+00,2.081742953997090861e+00
5.000000000000000000e-01,2.000000000000000000e+00,2.651635327336065107e+00,9.411764705882352811e-01,2.817362535294569259e+00
5.000000000000000000e-01,2.500000000000000000e+00,2.746801533890031788e+00,7.692307692307691624e-01,3.570841994057041280e+00
1.000000000000000000e+00,-3.000000000000000000e+00,6.435011087932843710e-01,-5.999999999999999778e-01,-1.072501847988807322e+00
1.000000000000000000e+00,-2.500000000000000000e+00,7.610127542247298038e-01,-6.896551724137931494e-01,-1.103468493625858082e+00
1.000000000000000000e+00,-2.000000000000000000e+00,9.272952180016121870e-01,-8.000000000000000444e-01,-1.159119022502015151e+00
1.000000000000000000e+00,-1.500000000000000000e+00,1.176005207095135008e+00,-9.230769230769231282e-01,-1.274005641019729573e+00
1.000000000000000000e+00,-1.000000000000000000e+00,1.570796326794896558e+00,-1.000000000000000000e+00,-1.570796326794896558e+00
1.000000000000000000e+00,-5.000000000000000000e-01,2.214297435588180818e+00,-8.000000000000000444e-01,-2.767871794485226022e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e-01,9.272952180016121870e-01,8.000000000000000444e-01,1.159119022502015151e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.570796326794896558e+00,1.000000000000000000e+00,1.570796326794896558e+00
1.000000000000000000e+00,1.500000000000000000e+00,1.965587446494658108e+00,9.230769230769231282e-01,2.129386400369212673e+00
1.000000000000000000e+00,2.000000000000000000e+00,2.214297435588180818e+00,8.000000000000000444e-01,2.767871794485226022e+00
1.000000000000000000e+00,2.500000000000000000e+00,2.380579899365063312e+00,6.896551724137931494e-01,3.451840854079341714e+00
1.500000000000000000e+00,-3.000000000000000000e+00,9.272952180016121870e-01,-5.333333333333333259e-01,-1.738678533753022837e+00
1.500000000000000000e+00,-2.500000000000000000e+00,1.080839000541168327e+00,-5.882352941176470784e-01,-1.837426300919986044e+00
1.500000000000000000e+00,-2.000000000000000000e+00,1.287002217586568742e+00,-6.400000000000000133e-01,-2.010940964979013756e+00
1.500000000000000000e+00,-1.500000000000000000e+00,1.570796326794896558e+00,-6.666666666666666297e-01,-2.356194490192344837e+00
1.500000000000000000e+00,-1.000000000000000000e+00,1.965587446494658108e+00,-6.153846153846154188e-01,-3.194079600553819454e+00
1.500000000000000000e+00,-5.000000000000000000e-01,2.498091544796508856e+00,-4.000000000000000222e-01,-6.245228861991272140e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
1.500000000000000000e+00,5.000000000000000000e-01,6.435011087932843710e-01,4.000000000000000222e-01,1.608752771983210872e+00
1.500000000000000000e+00,1.000000000000000000e+00,1.176005207095135008e+00,6.153846153846154188e-01,1.911008461529594360e+00
1.500000000000000000e+00,1.500000000000000000e+00,1.570796326794896558e+00,6.666666666666666297e-01,2.356194490192344837e+00
1.500000000000000000e+00,2.000000000000000000e+00,1.854590436003224374e+00,6.400000000000000133e-01,2.897797556255038209e+00
1.500000000000000000e+00,2.500000000000000000e+00,2.060753653048625011e+00,5.882352941176470784e-01,3.503281210182662253e+00
2.000000000000000000e+00,-3.000000000000000000e+00,1.176005207095135008e+00,-4.615384615384615641e-01,-2.548011282039459147e+00
2.000000000000000000e+00,-2.500000000000000000e+00,1.349481884447105262e+00,-4.878048780487805325e-01,-2.766437863116565588e+00
2.000000000000000000e+00,-2.000000000000000000e+00,1.570796326794896558e+00,-5.000000000000000000e-01,-3.141592653589793116e+00
2.000000000000000000e+00,-1.500000000000000000e+00,1.854590436003224596e+00,-4.799999999999999822e-01,-3.863730075006718057e+00
2.000000000000000000e+00,-1.000000000000000000e+00,2.214297435588180818e+00,-4.000000000000000222e-01,-5.535743588970452045e+00
2.000000000000000000e+00,-5.000000000000000000e-01,2.651635327336065107e+00,-2.352941176470588203e-01,-1.126945014117827704e+01
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e-01,4.899573262537282869e-01,2.352941176470588203e-01,2.082318636578345039e+00
2.000000000000000000e+00,1.000000000000000000e+00,9.272952180016121870e-01,4.000000000000000222e-01,2.318238045004030301e+00
2.000000000000000000e+00,1.500000000000000000e+00,1.287002217586568742e+00,4.799999999999999822e-01,2.681254619972018194e+00
2.000000000000000000e+00,2.000000000000000000e+00,1.570796326794896558e+00,5.000000000000000000e-01,3.141592653589793116e+00
2.000000000000000000e+00,2.500000000000000000e+00,1.792110769142688076e+00,4.878048780487805325e-01,3.673827076742510300e+00
2.500000000000000000e+00,-3.000000000000000000e+00,1.389476552393406283e+00,-3.934426229508197204e-01,-3.531586237333240952e+00
2.500000000000000000e+00,-2.500000000000000000e+00,1.570796326794896558e+00,-4.000000000000000222e-01,-3.926990816987241395e+00
2.500000000000000000e+00,-2.000000000000000000e+00,1.792110769142687854e+00,-3.902439024390244038e-01,-4.592283845928137431e+00
